birthday,gender,age,height,sport,noc,gold,silver,bronze
1999-07-22,0,24,1.7,Table Tennis,QAT,0,0,0
1997-02-24,0,26,1.7,Badminton,MAS,0,0,1
1999-03-30,0,24,1.99,Basketball,JOR,0,1,0
1996-05-17,0,27,1.77,Athletics,BRN,0,0,0
1995-01-11,0,28,1.7,Fencing,KUW,0,0,0
1999-01-28,0,24,1.77,Swimming,PAK,0,0,0
2000-05-19,0,23,1.7,Athletics,PAK,0,0,0
2004-07-06,0,19,2.02,3x3 Basketball,QAT,0,1,0
2003-06-26,0,20,1.8,Swimming,IRI,0,0,0
2003-11-15,0,19,1.75,Hockey,UZB,0,0,0
1999-11-17,0,23,1.82,Esports,PLE,0,0,0
1994-01-01,0,29,1.9,Handball,QAT,1,0,0
1996-08-28,0,27,1.79,Athletics,QAT,0,0,0
2005-08-01,0,18,1.93,Fencing,UZB,0,0,0
1997-07-10,0,26,1.92,Basketball,QAT,0,0,0
1990-12-04,0,32,1.9,Basketball,KSA,0,0,0
2005-03-28,0,18,1.82,Athletics,QAT,0,0,0
1992-04-22,0,31,1.87,Beach Volleyball,PHI,0,0,0
2021-12-29,0,1,1.69,Esports,KGZ,0,0,0
2002-12-25,0,20,2.03,Swimming,IRI,0,0,0
2000-07-20,0,23,1.87,Modern Pentathlon,KAZ,0,0,0
2004-03-17,0,19,1.75,Triathlon,KGZ,0,0,0
1995-11-03,0,27,1.83,Esports,KSA,0,0,0
2003-07-29,0,20,1.69,Dragon Boat,MAS,0,0,0
2001-06-19,0,22,1.84,Taekwondo,JOR,0,1,0
1997-09-24,0,26,1.63,Hockey,MAS,0,0,0
1998-06-29,1,25,1.55,Karate,BRU,0,0,1
2000-06-25,1,23,1.72,Fencing,SGP,0,0,0
1983-03-22,1,40,1.6,Shooting,MDV,0,0,0
1999-06-13,1,24,1.63,Badminton,MDV,0,0,0
1999-06-13,1,24,1.64,Badminton,MDV,0,0,0
1997-09-30,0,26,1.8,Judo,UAE,0,0,0
2002-05-14,0,21,1.8,Football,BRN,0,0,0
2004-10-03,0,19,1.7,Table Tennis,QAT,0,0,0
2006-12-15,0,16,1.76,Fencing,KUW,0,0,0
1997-06-04,0,26,1.83,Wrestling,TJK,0,0,0
2000-10-10,0,22,1.83,Wrestling,KGZ,0,0,0
2002-06-07,0,21,1.78,Football,BRN,0,0,0
2004-11-09,0,18,1.66,Athletics,MDV,0,0,0
2004-04-12,1,19,1.67,Ju-jitsu,UAE,0,1,0
2004-04-16,0,19,1.7,3x3 Basketball,MDV,0,0,0
2002-01-21,0,21,1.67,Shooting,UAE,0,0,0
1999-11-30,0,23,1.99,Volleyball,BRN,0,0,0
1994-07-08,0,29,1.87,Volleyball,BRN,0,0,0
1987-04-13,0,36,1.8,Handball,UZB,0,0,0
2022-04-27,0,1,1.82,Wrestling,KGZ,0,0,0
2002-10-18,0,20,1.69,Boxing,UZB,0,0,0
2004-05-13,1,19,1.56,Weightlifting,UZB,0,0,0
2001-08-19,1,22,1.6,Weightlifting,UZB,0,0,0
2002-11-05,0,20,1.76,Hockey,PAK,0,0,0
2000-10-13,0,22,1.7,Weightlifting,INA,1,0,0
2003-12-15,0,19,1.8,Football,SYR,0,0,0
1998-01-09,0,25,1.88,Archery,KAZ,0,0,0
2001-05-12,0,22,1.8,Ju-jitsu,TJK,0,0,0
1989-09-27,0,34,1.83,Handball,BRN,0,1,0
2002-02-20,0,21,1.82,Football,QAT,0,0,0
2000-01-12,1,23,1.68,Chess,KAZ,0,0,1
1995-09-02,0,28,1.85,Esports,UZB,0,0,0
2002-08-20,0,21,1.86,Football,UZB,0,0,1
2002-12-05,0,20,1.79,Ju-jitsu,TJK,0,0,0
1990-03-15,0,33,1.82,Wrestling,UZB,0,0,1
1995-09-13,0,28,1.73,Esports,UZB,0,0,0
2001-01-18,1,22,1.7,3x3 Basketball,KAZ,0,0,0
1997-12-14,1,25,1.77,Taekwondo,TJK,0,0,0
2004-09-18,0,19,1.88,Chess,UZB,0,1,1
2001-04-17,1,22,1.73,Archery,UZB,0,0,0
1999-12-18,1,23,1.5,Weightlifting,KAZ,0,0,0
2006-08-07,1,17,1.61,Shooting,KGZ,0,0,0
2001-06-04,1,22,1.78,Fencing,KGZ,0,0,0
1997-03-11,0,26,1.78,Esports,KGZ,0,0,0
2003-04-29,0,20,1.77,Football,KGZ,0,0,0
1998-03-03,0,25,1.74,Kabaddi,JPN,0,0,0
1998-08-19,0,25,1.83,Fencing,KSA,0,0,0
2008-09-17,1,15,1.68,Golf,KAZ,0,0,0
1996-03-19,0,27,1.8,Swimming,SRI,0,0,0
1999-12-06,0,23,1.76,Volleyball,INA,0,0,0
1999-08-15,0,24,1.76,Hockey,IND,1,0,0
2001-03-30,0,22,1.68,Football,KGZ,0,0,0
2001-10-31,0,21,1.75,Esports,KAZ,0,0,0
1997-12-16,1,25,1.64,Rugby Sevens,KAZ,0,0,0
1995-04-27,1,28,1.72,Football,UZB,0,0,0
2001-06-08,1,22,1.72,Taekwondo,JOR,0,0,0
1994-06-11,0,29,1.96,Basketball,KSA,0,0,0
1983-10-12,0,39,1.86,Shooting,QAT,0,0,0
1988-03-27,1,35,1.85,Volleyball,IND,0,0,0
2000-01-21,0,23,2.18,Boxing,TJK,0,0,0
1995-12-26,0,27,1.8,Volleyball,KGZ,0,0,0
1995-07-05,0,28,1.8,Artistic Gymnastics,JOR,0,0,0
2002-08-11,0,21,1.69,Football,KSA,0,0,0
2002-08-11,0,21,1.69,Football,KSA,0,0,0
2004-09-13,0,19,1.7,Athletics,KSA,0,0,0
1998-05-02,0,25,1.77,Boxing,JOR,0,0,0
1991-09-28,1,32,1.58,Shooting,JOR,0,0,0
2002-03-07,0,21,1.77,Handball,KSA,0,0,0
1997-06-16,0,26,2.03,Athletics,CHN,0,0,1
1992-08-18,0,31,2.02,Beach Volleyball,CHN,0,1,0
1998-02-04,0,25,1.86,Sport Climbing,KUW,0,0,0
2006-03-22,0,17,1.83,Swimming,PLE,0,0,0
2004-12-14,0,18,1.74,Table Tennis,BRN,0,0,0
2002-10-18,0,20,1.84,Football,PLE,0,0,0
1999-01-25,0,24,1.7,Basketball,QAT,0,0,0
2001-04-26,0,22,1.8,Football,CHN,0,0,0
1991-01-01,0,32,2,Volleyball,QAT,0,0,0
2004-06-14,0,19,1.68,Boxing,PLE,0,0,0
1997-09-08,0,26,1.74,Triathlon,PLE,0,0,0
1999-08-05,0,24,1.8,Triathlon,PLE,0,0,0
2005-07-22,1,18,1.64,Swimming,PLE,0,0,0
1983-08-31,0,40,1.76,Shooting,QAT,0,0,0
1997-06-17,1,26,1.76,Taekwondo,KSA,0,0,0
1995-05-31,0,28,1.7,Football,PLE,0,0,0
1997-07-04,1,26,1.58,Judo,KAZ,0,1,0
2002-02-03,0,21,1.69,Esports,KGZ,0,0,0
2004-12-13,1,18,1.7,Handball,UZB,0,0,0
2008-01-28,1,15,1.7,Modern Pentathlon,UZB,0,0,0
1982-07-12,0,41,1.84,Table Tennis,IND,0,0,0
1996-07-13,1,27,1.63,Fencing,NEP,0,0,0
1996-11-16,0,26,1.76,Badminton,NEP,0,0,0
2000-06-28,0,23,1.77,Esports,NEP,0,0,0
1993-07-01,0,30,1.72,Boxing,TKM,0,0,0
2004-04-17,0,19,1.82,Judo,TKM,0,0,0
1993-01-12,1,30,1.58,Kurash,PHI,0,0,0
1997-06-10,1,26,1.58,Shooting,PHI,0,0,0
1995-06-24,0,28,1.72,Water Polo,JPN,1,0,0
2001-03-31,0,22,1.7,Esports,MDV,0,0,0
2006-01-16,1,17,1.64,Sport Climbing,KAZ,0,0,0
2001-11-27,0,21,1.87,Shooting,IND,0,0,1
2001-10-29,1,21,1.63,Weightlifting,UZB,0,0,0
2003-08-31,1,20,1.66,Kurash,UZB,0,0,0
2002-02-21,1,21,1.52,Kurash,KAZ,0,0,0
1993-01-16,1,30,1.65,Athletics,BRN,4,0,0
1992-09-17,1,31,1.64,Fencing,NEP,0,0,0
1996-12-30,0,26,1.7,Athletics,NEP,0,0,0
1997-04-25,0,26,1.72,Rugby Sevens,NEP,0,0,0
1993-12-08,0,29,1.83,Shooting,PAK,0,0,0
1999-03-03,0,24,1.66,Weightlifting,MGL,0,0,0
2000-07-06,0,23,1.95,Rowing,CHN,1,0,0
2004-12-24,1,18,1.61,Artistic Swimming,THA,0,0,0
2006-08-18,0,17,1.8,Artistic Swimming,THA,0,0,0
2001-07-07,0,22,1.8,Football,INA,0,0,0
1995-12-29,0,27,1.76,Athletics,BRN,0,0,1
2005-06-23,0,18,1.8,Athletics,QAT,0,0,0
1997-01-27,0,26,1.7,Basketball,QAT,0,0,0
1991-02-14,0,32,1.85,Boxing,KGZ,0,0,0
2001-12-20,0,21,1.85,Rowing,THA,0,0,0
1999-09-09,0,24,1.82,Rowing,KAZ,0,0,0
2001-11-12,0,21,1.81,Swimming,IRI,0,0,0
1999-04-10,0,24,1.65,Hockey,PAK,0,0,0
1998-01-01,0,25,1.76,Athletics,PAK,0,0,0
1996-04-19,1,27,1.74,Canoe Sprint,IRI,0,0,0
2000-01-09,0,23,1.88,Rowing,UZB,0,0,0
1998-11-26,0,24,1.9,Wrestling,TKM,0,0,0
1999-02-05,0,24,1.75,Judo,TKM,0,0,0
1999-10-24,1,23,1.57,Sport Climbing,KAZ,0,0,0
1993-07-06,0,30,1.83,Handball,JPN,0,0,0
2006-08-17,1,17,1.65,Swimming,IND,0,0,0
2003-08-07,1,20,1.76,Athletics,IND,0,0,1
1999-07-18,1,24,1.58,Cycling Track,IND,0,0,0
1994-12-18,1,28,1.72,Softball,JPN,1,0,0
1999-08-22,1,24,1.67,Golf,KAZ,0,0,0
1983-09-30,0,40,1.91,Beach Volleyball,JPN,0,0,0
1947-08-24,1,76,1.63,Bridge,PAK,0,0,0
1994-05-12,1,29,1.75,Kurash,IRI,0,1,0
1998-08-28,0,25,1.8,Beach Volleyball,IRI,0,0,0
2001-03-14,0,22,2,Basketball,IRI,0,0,0
1993-03-04,0,30,1.73,Canoe Sprint,IRI,0,0,0
2001-02-22,0,22,1.75,Esports,PLE,0,0,0
2002-09-28,1,21,1.59,Chess,IND,0,1,0
1987-01-25,0,36,2.06,Basketball,PHI,1,0,0
2003-03-21,0,20,1.7,Football,AFG,0,0,0
1994-12-11,0,28,1.8,Cricket,IND,1,0,0
1994-01-20,0,29,1.75,Kabaddi,BAN,0,0,0
2004-06-05,0,19,1.77,Football,BAN,0,0,0
2004-04-21,0,19,1.78,Basketball,UAE,0,0,0
2004-01-12,0,19,1.86,Football,SYR,0,0,0
2002-05-12,0,21,1.85,Hockey,PAK,0,0,0
1997-10-13,0,25,1.65,Artistic Gymnastics,IRI,0,0,0
2006-02-20,0,17,1.81,Kabaddi,PAK,0,0,1
1992-05-10,0,31,1.76,Sport Climbing,PAK,0,0,0
1982-05-31,1,41,1.6,Shooting,IRI,0,0,0
2002-06-26,1,21,1.67,Roller Skating,IRI,0,1,0
1996-03-10,0,27,1.71,Karate,AFG,0,0,0
1994-01-12,0,29,1.77,Kabaddi,PAK,0,0,1
1998-08-26,0,25,1.84,Esports,QAT,0,0,0
2003-06-12,1,20,1.72,Athletics,MDV,0,0,0
2003-04-18,1,20,1.58,Swimming,MDV,0,0,0
2002-12-14,0,20,1.7,Football,BAN,0,0,0
2005-09-15,0,18,1.63,Table Tennis,MDV,0,0,0
2001-05-02,0,22,1.8,Football,BRN,0,0,0
1993-07-20,0,30,1.85,Handball,BRN,0,1,0
1999-02-18,0,24,1.79,Football,PLE,0,0,0
1987-07-10,0,36,1.7,Table Tennis,MDV,0,0,0
1996-12-08,0,26,1.85,Esports,KSA,0,0,0
2002-06-10,0,21,1.67,Badminton,MDV,0,0,0
2002-12-22,0,20,1.7,Shooting,BAN,0,0,0
1995-05-01,0,28,1.7,Shooting,BAN,0,0,0
1995-09-10,0,28,1.82,Esports,MDV,0,0,0
1990-11-23,0,32,1.8,Shooting,KOR,0,0,0
2000-10-05,1,23,1.66,Rowing,KOR,0,0,0
1999-07-07,0,24,1.67,Chess,KOR,0,0,0
1981-06-25,0,42,1.75,Bridge,KOR,0,0,0
2002-08-07,1,21,1.6,Cricket,IND,1,0,0
1999-03-03,0,24,1.71,Esports,MDV,0,0,0
2001-02-27,0,22,1.85,Football,QAT,0,0,0
2001-02-28,0,22,1.65,Judo,KGZ,0,0,0
2001-02-03,0,22,1.97,3x3 Basketball,KGZ,0,0,0
1997-10-17,0,25,1.73,Sepaktakraw,MAS,0,1,0
2001-07-30,1,22,1.64,Wrestling,UZB,0,0,0
